Descrição dos alimentos;Energia..kcal.;Proteína..g.;Lipídeos..g.;Carboidrato..g.;Fibra.Alimentar..g.
Feijão, roxo, cozido;77;5.7;0.5;12.9;11.5
Feijão, roxo, cru;331;22.2;1.2;60;33.8
Grão-de-bico, cru;355;21.2;5.4;57.9;12.4
Guandu, cru;344;19;2.1;64;21.3
Lentilha, cozida;93;6.3;0.5;16.3;7.9
Lentilha, crua;339;23.2;0.8;62;16.9
Paçoca, amendoim;487;16;26.1;52.4;7.3
Pé-de-moleque, amendoim;503;13.2;28;54.7;3.4
Soja, farinha;404;36;14.6;38.4;20.2
Soja, extrato solúvel, natural, fluido;39;2.4;1.6;4.3;0.4
Soja, extrato solúvel, pó;459;35.7;26.2;28.5;7.3
Soja, queijo (tofu);64;6.6;4;2.1;0.8
Tremoço, cru;381;33.6;10.3;43.8;32.3
Tremoço, em conserva;121;11.1;3.8;12.4;14.4
Amêndoa, torrada, salgada;581;18.6;47.3;29.5;11.6
Castanha-de-caju, torrada, salgada;570;18.5;46.3;29.1;3.7
Castanha-do-Brasil, crua;643;14.5;63.5;15.1;7.9
Coco, cru;406;3.7;42;10.4;5.4
Coco,  verde, cru;NA;NA;NA;NA;NA
Farinha, de mesocarpo de babaçu, crua;329;1.4;0.2;79.2;17.9
Gergelim, semente;584;21.2;50.4;21.6;11.9
Linhaça, semente;495;14.1;32.3;43.3;33.5
Pinhão, cozido;174;3;0.7;43.9;15.6
Pupunha, cozida;219;2.5;12.8;29.6;4.3
Noz, crua;620;14;59.4;18.4;7.2
